trip_id,taxi_id,source_file,start_time,end_time,start_lon,start_lat,end_lon,end_lat,duration_min,distance_km,num_points,avg_speed_kmh,start_hour,start_weekday,is_weekend,start_date
1,1,1.txt,2008-02-02 15:36:08,2008-02-02 17:10:24,116.51172,39.92123,116.50661,39.9145,94.26666666666667,18.12464172932737,9,11.536193462796769,15,5,1,2008-02-02
2,1,1.txt,2008-02-02 20:30:34,2008-02-03 12:00:29,116.49625,39.9146,116.45551,39.88319,929.9166666666666,50.49259869914929,84,3.2578789374843167,20,5,1,2008-02-02
3,1,1.txt,2008-02-03 18:35:14,2008-02-04 11:05:09,116.58425,39.91108,116.5094,39.90679,989.9166666666666,43.82686874730813,98,2.6563974659535194,18,6,1,2008-02-03
4,1,1.txt,2008-02-04 17:28:21,2008-02-04 17:48:21,116.47511,39.91397,116.51672,39.90887,20.0,7.0116002695226864,3,21.03480080856806,17,0,0,2008-02-04
5,1,1.txt,2008-02-04 21:08:39,2008-02-05 01:58:37,116.69169,39.85151,116.69168,39.85171,289.96666666666664,16.663197592217017,28,3.447954439129858,21,0,0,2008-02-04
6,1,1.txt,2008-02-05 02:38:36,2008-02-05 11:38:33,116.69194,39.85156,116.51525,39.9159,539.95,34.47392613363054,54,3.8307909399348685,2,1,0,2008-02-05
7,1,1.txt,2008-02-05 15:01:23,2008-02-05 18:51:20,116.49344,39.91441,116.50337,39.90693,229.95,63.22569858983388,24,16.497246859708774,15,1,0,2008-02-05
8,1,1.txt,2008-02-05 22:05:42,2008-02-06 10:35:37,116.69155,39.85164,116.51523,39.91522,749.9166666666666,35.412078076686804,70,2.833281055141071,22,1,0,2008-02-05
9,1,1.txt,2008-02-06 13:57:44,2008-02-06 15:57:43,116.47354,39.98849,116.51238,39.91654,119.98333333333333,49.709865156177464,13,24.85838513157923,13,2,0,2008-02-06
10,1,1.txt,2008-02-06 19:21:22,2008-02-06 19:41:21,116.51167,39.92152,116.50382,39.90692,19.983333333333334,4.315405512289099,3,12.957014048574443,19,2,0,2008-02-06
11,1,1.txt,2008-02-06 23:01:32,2008-02-07 11:11:28,116.69158,39.85137,116.53903,39.91508,729.9333333333333,34.964221046615336,70,2.874034061736579,23,2,0,2008-02-06
13,1,1.txt,2008-02-07 18:04:54,2008-02-08 02:24:50,116.48366,39.94303,116.69173,39.85176,499.93333333333334,27.90942875697337,47,3.34957806124497,18,3,0,2008-02-07
14,1,1.txt,2008-02-08 02:54:51,2008-02-08 10:54:48,116.69158,39.8516,116.54559,39.91474,479.95,15.85978760266454,49,1.9826799794975984,2,4,0,2008-02-08
15,1,1.txt,2008-02-08 14:21:31,2008-02-08 15:51:31,116.52195,39.916,116.54723,39.90841,90.0,30.943073685317017,10,20.628715790211345,14,4,0,2008-02-08
16,10,10.txt,2008-02-02 13:32:03,2008-02-02 13:52:53,116.44457,39.92157,116.39868,39.91153,20.833333333333332,5.209670812017194,42,15.00385193860952,13,5,1,2008-02-02
17,10,10.txt,2008-02-02 15:49:00,2008-02-02 20:14:29,116.39868,39.91153,116.39887,39.91145,265.48333333333335,80.47497208806385,408,18.187576088708006,15,5,1,2008-02-02
20,10,10.txt,2008-02-03 10:15:00,2008-02-03 20:54:01,116.39933,39.91178,116.39857,39.9114,639.0166666666667,201.22303884417528,1058,18.89368925794922,10,6,1,2008-02-03
22,10,10.txt,2008-02-04 09:24:34,2008-02-04 13:26:44,116.39953,39.91608,116.39868,39.91135,242.16666666666666,71.87011333975067,494,17.806772747632653,9,0,0,2008-02-04
23,10,10.txt,2008-02-04 15:22:44,2008-02-04 20:03:37,116.39868,39.91135,116.39847,39.91135,280.8833333333333,70.60054710595882,420,15.081111349994172,15,0,0,2008-02-04
24,10,10.txt,2008-02-05 06:52:59,2008-02-05 07:03:48,116.39852,39.91137,116.40152,39.91413,10.816666666666666,2.590819980994809,45,14.371266458522824,6,1,0,2008-02-05
25,10,10.txt,2008-02-05 10:05:05,2008-02-05 11:21:22,116.39863,39.91143,116.39802,39.91153,76.28333333333333,25.629170992837008,170,20.15840410186,10,1,0,2008-02-05
26,10,10.txt,2008-02-05 14:34:46,2008-02-05 19:34:51,116.39802,39.91153,116.39908,39.91145,300.0833333333333,112.42000120289264,609,22.477756419350932,14,1,0,2008-02-05
28,10,10.txt,2008-02-06 06:46:50,2008-02-06 11:46:32,116.39893,39.9113,116.42443,39.98215,299.7,16.47009620003987,187,3.2973165565645384,6,2,0,2008-02-06
29,10,10.txt,2008-02-06 12:23:41,2008-02-06 16:31:40,116.41882,39.9561,116.39888,39.91148,247.98333333333332,75.76580652211271,460,18.33166902880609,12,2,0,2008-02-06
33,10,10.txt,2008-02-07 10:59:28,2008-02-07 12:53:40,116.39915,39.91153,116.42322,39.88955,114.2,45.019492625604286,189,23.652973358461097,10,3,0,2008-02-07
34,10,10.txt,2008-02-07 15:59:39,2008-02-07 20:42:35,116.4221,39.8922,116.39898,39.91143,282.93333333333334,130.9764544652876,571,27.77540269056523,15,3,0,2008-02-07
35,10,10.txt,2008-02-08 10:19:53,2008-02-08 14:12:59,116.39898,39.91143,116.36313,39.95283,233.1,91.21820109431023,446,23.479588441263896,10,4,0,2008-02-08
36,10,10.txt,2008-02-08 15:15:25,2008-02-08 17:38:00,116.36313,39.95283,116.38552,39.90773,142.58333333333334,28.096220690010085,219,11.823073580834167,15,4,0,2008-02-08
37,100,100.txt,2008-02-02 18:44:59,2008-02-03 01:30:54,116.46956,39.87211,116.46997,39.87234,405.9166666666667,132.25172665971746,126,19.548602585710647,18,5,1,2008-02-02
38,100,100.txt,2008-02-03 12:30:54,2008-02-03 22:55:39,116.47044,39.87141,116.40237,39.99365,624.75,159.59231951572212,213,15.326993470897683,12,6,1,2008-02-03
39,100,100.txt,2008-02-03 23:29:12,2008-02-04 01:13:07,116.46582,39.90719,116.47009,39.87233,103.91666666666667,45.89771524581745,36,26.50068562709588,23,6,1,2008-02-03
40,100,100.txt,2008-02-04 12:29:01,2008-02-05 02:05:29,116.47005,39.87243,116.47105,39.88108,816.4666666666667,239.7395484323655,259,17.617832415214252,12,0,0,2008-02-04
42,100,100.txt,2008-02-05 09:24:06,2008-02-05 11:20:00,116.47027,39.87269,116.46456,39.99125,115.9,104.74572097188585,43,54.22556737112295,9,1,0,2008-02-05
43,100,100.txt,2008-02-05 11:58:32,2008-02-05 17:00:16,116.49327,39.97815,116.46996,39.87229,301.73333333333335,80.75091652926848,105,16.057407175506327,11,1,0,2008-02-05
44,100,100.txt,2008-02-05 21:30:42,2008-02-06 03:14:42,116.46633,39.87019,116.47013,39.87231,344.0,101.35464191200415,103,17.678135217210027,21,1,0,2008-02-05
45,100,100.txt,2008-02-06 09:10:26,2008-02-06 19:12:58,116.46946,39.87239,116.3385,39.9126,602.5333333333333,153.25162574958034,160,15.260728388429111,9,2,0,2008-02-06
46,100,100.txt,2008-02-06 19:46:26,2008-02-06 20:27:05,116.46641,39.87476,116.46982,39.8724,40.65,19.265009829715723,16,28.435438863049036,19,2,0,2008-02-06
47,100,100.txt,2008-02-07 17:25:17,2008-02-08 01:31:46,116.46959,39.87265,116.46986,39.87242,486.48333333333335,124.14442023906427,107,15.311244402364979,17,3,0,2008-02-07
48,100,100.txt,2008-02-08 10:57:53,2008-02-08 15:29:22,116.46979,39.8724,116.46995,39.87237,271.48333333333335,111.27299873087544,101,24.59222760336126,10,4,0,2008-02-08
49,1000,1000.txt,2008-02-02 13:34:52,2008-02-02 14:29:25,116.48361,39.94491,116.50704,39.86691,54.55,24.966786361946525,19,27.461176566760617,13,5,1,2008-02-02
50,1000,1000.txt,2008-02-02 16:56:05,2008-02-02 17:27:51,116.49824,39.86983,116.50706,39.86693,31.766666666666666,11.50753924451669,14,21.735121343263426,16,5,1,2008-02-02
51,1000,1000.txt,2008-02-02 18:29:53,2008-02-03 01:27:26,116.50706,39.86716,116.45501,39.89827,417.55,140.22532776674157,113,20.14972977129564,18,5,1,2008-02-02
52,1000,1000.txt,2008-02-03 02:17:28,2008-02-03 04:27:53,116.45503,39.89838,116.50382,39.86508,130.41666666666666,21.06759307099514,29,9.692438984738978,2,6,1,2008-02-03
53,1000,1000.txt,2008-02-03 09:14:08,2008-02-03 15:38:30,116.50782,39.86325,116.48664,39.88156,384.3666666666667,95.60836865679116,127,14.924556723807482,9,6,1,2008-02-03
56,1000,1000.txt,2008-02-04 01:43:24,2008-02-04 02:01:30,116.4866,39.88166,116.50732,39.86697,18.1,3.324992487902718,8,11.022074545533872,1,0,0,2008-02-04
57,1000,1000.txt,2008-02-04 08:23:47,2008-02-04 15:03:37,116.50724,39.8669,116.50709,39.867,399.8333333333333,134.89772693140722,157,20.24309366207028,8,0,0,2008-02-04
59,1000,1000.txt,2008-02-04 18:03:52,2008-02-04 18:43:21,116.50668,39.86619,116.45528,39.8982,39.483333333333334,6.836277967604834,16,10.38860307445226,18,0,0,2008-02-04
